year,coo_name,coo,coo_iso,coa_name,coa,coa_iso,refugees,asylum_seekers,returned_refugees,idps,returned_idps,stateless,ooc,oip,hst
2022,Afghanistan,AFG,AFG,Afghanistan,AFG,AFG,0,0,0,3254002,236166,0,88903,,878451.0
2022,Bangladesh,BGD,BGD,Afghanistan,AFG,AFG,0,5,0,0,0,0,0,,0.0
2022,Iran (Islamic Rep. of),IRN,IRN,Afghanistan,AFG,AFG,35,21,0,0,0,0,0,,0.0
2022,Pakistan,PAK,PAK,Afghanistan,AFG,AFG,52124,186,0,0,0,0,0,,0.0
2022,Tajikistan,TJK,TJK,Afghanistan,AFG,AFG,0,6,0,0,0,0,0,,0.0
2022,Afghanistan,AFG,AFG,Albania,ALB,ALB,14,0,0,0,0,0,8,,0.0
2022,Egypt,ARE,EGY,Albania,ALB,ALB,8,0,0,0,0,0,0,,0.0
2022,China,CHI,CHN,Albania,ALB,ALB,14,0,0,0,0,0,0,,0.0
2022,Palestinian,GAZ,PSE,Albania,ALB,ALB,8,0,0,0,0,0,0,,0.0
2022,Serbia and Kosovo: S/RES/1244 (1999),SRB,SRB,Albania,ALB,ALB,52,0,5,0,0,0,0,,0.0
2022,Syrian Arab Rep.,SYR,SYR,Albania,ALB,ALB,23,0,0,0,0,0,0,,0.0
2022,Tunisia,TUN,TUN,Albania,ALB,ALB,5,0,0,0,0,0,0,,0.0
2022,Ukraine,UKR,UKR,Albania,ALB,ALB,2542,5,0,0,0,0,0,,0.0
2022,Uzbekistan,UZB,UZB,Albania,ALB,ALB,5,0,0,0,0,0,0,,0.0
2022,Venezuela (Bolivarian Republic of),VEN,VEN,Albania,ALB,ALB,5,0,0,0,0,0,0,,0.0
2022,Stateless,STA,XXA,Albania,ALB,ALB,0,0,0,0,0,1950,0,,0.0
2022,Egypt,ARE,EGY,Algeria,ALG,DZA,0,5,0,0,0,0,0,,0.0
2022,Benin,BEN,BEN,Algeria,ALG,DZA,0,136,0,0,0,0,0,,0.0
2022,Burkina Faso,BKF,BFA,Algeria,ALG,DZA,12,105,0,0,0,0,0,,0.0
2022,Central African Rep.,CAR,CAF,Algeria,ALG,DZA,106,91,0,0,0,0,0,,0.0
2022,Chad,CHD,TCD,Algeria,ALG,DZA,5,42,0,0,0,0,0,,0.0
2022,Cameroon,CMR,CMR,Algeria,ALG,DZA,135,593,0,0,0,0,0,,0.0
2022,Congo,COB,COG,Algeria,ALG,DZA,0,10,0,0,0,0,0,,0.0
2022,Dem. Rep. of the Congo,COD,COD,Algeria,ALG,DZA,79,124,0,0,0,0,0,,0.0
2022,Eritrea,ERT,ERI,Algeria,ALG,DZA,5,5,0,0,0,0,0,,0.0
2022,Ethiopia,ETH,ETH,Algeria,ALG,DZA,0,5,0,0,0,0,0,,0.0
2022,Gambia,GAM,GMB,Algeria,ALG,DZA,0,5,0,0,0,0,0,,0.0
2022,Palestinian,GAZ,PSE,Algeria,ALG,DZA,243,0,0,0,0,0,0,,0.0
2022,Ghana,GHA,GHA,Algeria,ALG,DZA,0,13,0,0,0,0,0,,0.0
2022,Guinea-Bissau,GNB,GNB,Algeria,ALG,DZA,0,6,0,0,0,0,0,,0.0
2022,Guinea,GUI,GIN,Algeria,ALG,DZA,41,622,0,0,0,0,0,,0.0
2022,Cote d'Ivoire,ICO,CIV,Algeria,ALG,DZA,76,250,0,0,0,0,0,,0.0
2022,India,IND,IND,Algeria,ALG,DZA,0,5,0,0,0,0,0,,0.0
2022,Iraq,IRQ,IRQ,Algeria,ALG,DZA,16,5,0,0,0,0,0,,0.0
2022,Jordan,JOR,JOR,Algeria,ALG,DZA,0,5,0,0,0,0,0,,0.0
2022,Liberia,LBR,LBR,Algeria,ALG,DZA,0,114,0,0,0,0,0,,0.0
2022,Libya,LBY,LBY,Algeria,ALG,DZA,21,16,0,0,0,0,0,,0.0
2022,Lebanon,LEB,LBN,Algeria,ALG,DZA,0,9,0,0,0,0,0,,0.0
2022,Mali,MLI,MLI,Algeria,ALG,DZA,222,674,0,0,0,0,0,,0.0
2022,Niger,NGR,NER,Algeria,ALG,DZA,10,195,0,0,0,0,0,,0.0
2022,Nigeria,NIG,NGA,Algeria,ALG,DZA,6,443,0,0,0,0,0,,0.0
2022,Senegal,SEN,SEN,Algeria,ALG,DZA,0,9,0,0,0,0,0,,0.0
